,Accuracy,Precision,Recall,Sensitivity,Specificity
0.05,0.20230707281254443,0.1905484500325168,0.9911049862189927,0.9911049862189927,0.01840168243953733
0.1,0.25126723198635653,0.19529557412565768,0.948634427461789,0.948634427461789,0.08867858394672275
0.15,0.32903027144819746,0.2046055115137788,0.8827361563517915,0.8827361563517915,0.19993574015656035
0.2,0.3884835852006253,0.21216229301830153,0.8234778251064896,0.8234778251064896,0.2870662460567823
0.25,0.5096167511487991,0.22639480363057599,0.6593585567526936,0.6593585567526936,0.4747049889005725
0.3,0.5488890994362594,0.2294977749523204,0.5879478827361564,0.5879478827361564,0.539782684893095
0.35,0.5693306172722535,0.23075704783021855,0.5476071160110249,0.5476071160110249,0.5743953732912723
0.4,0.585153252167322,0.22951191827468786,0.5066399398646956,0.5066399398646956,0.6034583479378433
0.45,0.6030366194514188,0.22686251322586667,0.45665246805311954,0.45665246805311954,0.6371655567239164
0.5,0.6181012838125918,0.22337750594631328,0.41180155349536457,0.41180155349536457,0.6661993223507419
0.55,0.622578047278412,0.22149061361725975,0.3961413179654222,0.3961413179654222,0.6753709545507652
0.6,0.6248756454592828,0.2203631185475258,0.3877474317213731,0.3877474317213731,0.6801612337889941
0.65,0.6268653181107584,0.2198024085959472,0.38185918316211476,0.38185918316211476,0.683987615375628
0.7,0.6289260504997868,0.21952109797050665,0.37672262590829364,0.37672262590829364,0.687726369903026
0.75,0.6302761855132881,0.2187891748396136,0.3717113505387121,0.3717113505387121,0.6905596448183199
0.8,0.6314368278933157,0.2179124478856462,0.36670007516913056,0.36670007516913056,0.6931592475756514
0.85,0.6329527689611066,0.2167948138097392,0.3603106990729141,0.3603106990729141,0.6965182848463606
0.9,0.6358662182007675,0.21640702939145115,0.35329491355549986,0.35329491355549986,0.7017466993807688
0.95,0.6420484153678526,0.2136086118251928,0.3331245301929341,0.3331245301929341,0.7140729057132843
0.96,0.6441802074944336,0.21241830065359477,0.3257328990228013,0.3257328990228013,0.7184250496553336
0.97,0.645933014354067,0.21085837622447284,0.318215985968429,0.318215985968429,0.7223390583012034
0.98,0.6554076460277607,0.20807398186021697,0.2931596091205212,0.2931596091205212,0.7398644701483819
0.99,0.659481737647449,0.19748296744890234,0.2614632924079178,0.2614632924079178,0.7522783035401331
0.995,0.6602397081813445,0.1955980861244019,0.2560761713856176,0.2560761713856176,0.7544689800210305
